,Company,TypeName,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,ppi,IPS,Touchscreen,HDD,SSD,Hybrid,Flash_Storage
0,Apple,Ultrabook,Intel Core i5,8,128GB SSD,Intel Iris,mac OS,1.37,119125,226.98,1,0,0,128,0,0
1,Apple,Ultrabook,Intel Core i5,8,128GB Flash Storage,Intel HD,mac OS,1.34,79934,127.68,0,0,0,0,0,128
2,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,No OS,1.86,51129,141.21,0,0,0,256,0,0
4,Apple,Ultrabook,Intel Core i5,8,256GB SSD,Intel Iris,mac OS,1.37,160376,226.98,1,0,0,256,0,0
5,Acer,Notebook,AMD A-Series,4,500GB HDD,AMD Radeon,Windows 10,2.1,35568,100.45,0,0,500,0,0,0
7,Apple,Ultrabook,Intel Core i5,8,256GB Flash Storage,Intel HD,mac OS,1.34,103032,127.68,0,0,0,0,0,256
8,Asus,Ultrabook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,1.3,132935,157.35,0,0,0,512,0,0
9,Acer,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.6,68468,157.35,1,0,0,256,0,0
10,HP,Notebook,Intel Core i5,4,500GB HDD,Intel HD,No OS,1.86,35026,100.45,0,0,500,0,0,0
11,HP,Notebook,Intel Core i3,4,500GB HDD,Intel HD,No OS,1.86,30677,141.21,0,0,500,0,0,0
13,Dell,Notebook,Intel Core i3,4,256GB SSD,AMD Radeon,Windows 10,2.2,44362,141.21,0,0,0,256,0,0
15,Apple,Ultrabook,Intel Core i5,8,256GB SSD,Intel Iris,mac OS,1.37,135029,226.98,1,0,0,256,0,0
16,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.2,66245,141.21,0,0,0,256,0,0
18,Lenovo,Notebook,Intel Core i3,8,1TB HDD,Nvidia GeForce,No OS,2.2,44371,141.21,0,0,1,0,0,0
19,Dell,Ultrabook,Intel Core i5,8,128GB SSD,Intel UHD,Windows 10,1.22,87053,165.63,1,1,0,128,0,0
20,Asus,Netbook,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,0.98,17064,135.09,0,0,0,0,0,32
21,Lenovo,Gaming,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,88831,141.21,1,0,1,128,0,0
22,HP,Notebook,AMD E-Series,4,500GB HDD,AMD Radeon,No OS,1.86,22941,100.45,0,0,500,0,0,0
23,Dell,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.62,72825,165.63,0,1,0,256,0,0
